snapshot_timestamp,snapshot_date,snapshot_time,snapshot_hour,snapshot_minute,video_id,video_title,published_at,published_date,published_hour,hours_since_published,days_since_published,current_views,current_likes,current_comments,views_per_hour,views_per_day,duration,url,engagement_rate,like_rate,comment_rate,momentum_score,engagement_per_hour
2025-06-20T18:40:25.537485,2025-06-20,18:40:25,18,,dLkWKcSfcss,Sonic Stunts IN REAL LIFE!!,2025-06-18T15:01:07+00:00,,15,58.66,2.4,32639,1064,10,556.46,,8:36,https://www.youtube.com/watch?v=dLkWKcSfcss,3.29,3.26,0.03,161.57,18.31
2025-06-20T18:40:25.537485,2025-06-20,18:40:25,18,,iynCh82AFX4,Super Sonic.EXE VS Dark Sonic!!,2025-06-16T15:01:13+00:00,,15,106.65,4.4,45967,1318,30,430.99,,9:38,https://www.youtube.com/watch?v=iynCh82AFX4,2.93,2.87,0.07,79.17,12.64
2025-06-20T18:40:25.537485,2025-06-20,18:40:25,18,,xXqlfaa5Faw,Dark Sonic VS The World!!,2025-06-20T11:01:58+00:00,,11,14.64,0.6,14975,549,18,1022.82,,9:40,https://www.youtube.com/watch?v=xXqlfaa5Faw,3.79,3.67,0.12,635.27,38.73
2025-06-20T18:47:32.947520,2025-06-20,18:47:32,18,,1rPQFtnG-h4,Sonic Destroys Tung Tung Tung Sahur!,2025-05-31T21:06:36+00:00,,21,484.68,20.2,10181,562,16,21.01,,0:21,https://www.youtube.com/watch?v=1rPQFtnG-h4,5.68,5.52,0.16,0.99,1.19
2025-06-20T18:47:32.947520,2025-06-20,18:47:32,18,,SKJpIJWZdDE,Shadow Slaps Italian Brainrot Tung Tung Tung Sahur To The Moon!,2025-06-01T21:08:12+00:00,,21,460.66,19.2,7045,385,8,15.29,,0:23,https://www.youtube.com/watch?v=SKJpIJWZdDE,5.58,5.46,0.11,0.76,0.85
2025-06-20T18:47:32.947520,2025-06-20,18:47:32,18,,WC9C4uqgnak,Hyper Sonic Vs Dark Shadow!!,2025-06-19T12:53:07+00:00,,12,36.91,1.5,32689,961,14,885.71,,9:10,https://www.youtube.com/watch?v=WC9C4uqgnak,2.98,2.94,0.04,349.01,26.42
2025-06-20T18:47:32.947520,2025-06-20,18:47:32,18,,_Sme5_9u_sk,Fleetway Super Sonic Vs Sonic EXE!!,2025-06-17T15:01:01+00:00,,15,82.78,3.4,19706,436,9,238.07,,8:22,https://www.youtube.com/watch?v=_Sme5_9u_sk,2.26,2.21,0.05,53.51,5.38
2025-06-20T18:47:32.947520,2025-06-20,18:47:32,18,,dLkWKcSfcss,Sonic Stunts IN REAL LIFE!!,2025-06-18T15:01:07+00:00,,15,58.77,2.4,32725,1065,10,556.8,,8:36,https://www.youtube.com/watch?v=dLkWKcSfcss,3.28,3.25,0.03,161.44,18.29
2025-06-20T18:47:32.947520,2025-06-20,18:47:32,18,,iynCh82AFX4,Super Sonic.EXE VS Dark Sonic!!,2025-06-16T15:01:13+00:00,,15,106.77,4.4,46037,1320,30,431.17,,9:38,https://www.youtube.com/watch?v=iynCh82AFX4,2.93,2.87,0.07,79.13,12.64
2025-06-20T18:47:32.947520,2025-06-20,18:47:32,18,,xXqlfaa5Faw,Dark Sonic VS The World!!,2025-06-20T11:01:58+00:00,,11,14.76,0.6,15090,551,18,1022.38,,9:40,https://www.youtube.com/watch?v=xXqlfaa5Faw,3.77,3.65,0.12,633.06,38.55
2025-06-20T18:48:29.694560,2025-06-20,18:48:29,18,,1rPQFtnG-h4,Sonic Destroys Tung Tung Tung Sahur!,2025-05-31T21:06:36+00:00,,21,484.7,20.2,10181,562,16,21.0,,0:21,https://www.youtube.com/watch?v=1rPQFtnG-h4,5.68,5.52,0.16,0.99,1.19
2025-06-20T18:48:29.694560,2025-06-20,18:48:29,18,,SKJpIJWZdDE,Shadow Slaps Italian Brainrot Tung Tung Tung Sahur To The Moon!,2025-06-01T21:08:12+00:00,,21,460.67,19.2,7045,385,8,15.29,,0:23,https://www.youtube.com/watch?v=SKJpIJWZdDE,5.58,5.46,0.11,0.76,0.85
2025-06-20T18:48:29.694560,2025-06-20,18:48:29,18,,WC9C4uqgnak,Hyper Sonic Vs Dark Shadow!!,2025-06-19T12:53:07+00:00,,12,36.92,1.5,32689,962,14,885.33,,9:10,https://www.youtube.com/watch?v=WC9C4uqgnak,2.99,2.94,0.04,348.77,26.43
2025-06-20T18:48:29.694560,2025-06-20,18:48:29,18,,_Sme5_9u_sk,Fleetway Super Sonic Vs Sonic EXE!!,2025-06-17T15:01:01+00:00,,15,82.79,3.4,19706,436,9,238.02,,8:22,https://www.youtube.com/watch?v=_Sme5_9u_sk,2.26,2.21,0.05,53.49,5.37
2025-06-20T18:48:29.694560,2025-06-20,18:48:29,18,,dLkWKcSfcss,Sonic Stunts IN REAL LIFE!!,2025-06-18T15:01:07+00:00,,15,58.79,2.4,32725,1064,10,556.65,,8:36,https://www.youtube.com/watch?v=dLkWKcSfcss,3.28,3.25,0.03,161.37,18.27
2025-06-20T18:48:29.694560,2025-06-20,18:48:29,18,,iynCh82AFX4,Super Sonic.EXE VS Dark Sonic!!,2025-06-16T15:01:13+00:00,,15,106.79,4.4,46037,1320,30,431.11,,9:38,https://www.youtube.com/watch?v=iynCh82AFX4,2.93,2.87,0.07,79.11,12.64
2025-06-20T18:48:29.694560,2025-06-20,18:48:29,18,,xXqlfaa5Faw,Dark Sonic VS The World!!,2025-06-20T11:01:58+00:00,,11,14.78,0.6,15090,550,18,1021.29,,9:40,https://www.youtube.com/watch?v=xXqlfaa5Faw,3.76,3.64,0.12,632.12,38.44
2025-06-20T18:52:29.417100,2025-06-20,18:52:29,18,,1rPQFtnG-h4,Sonic Destroys Tung Tung Tung Sahur!,2025-05-31T21:06:36+00:00,,21,484.76,20.2,10184,562,16,21.01,,0:21,https://www.youtube.com/watch?v=1rPQFtnG-h4,5.68,5.52,0.16,0.99,1.19
2025-06-20T18:52:29.417100,2025-06-20,18:52:29,18,,SKJpIJWZdDE,Shadow Slaps Italian Brainrot Tung Tung Tung Sahur To The Moon!,2025-06-01T21:08:12+00:00,,21,460.74,19.2,7045,385,8,15.29,,0:23,https://www.youtube.com/watch?v=SKJpIJWZdDE,5.58,5.46,0.11,0.76,0.85
2025-06-20T18:52:29.417100,2025-06-20,18:52:29,18,,WC9C4uqgnak,Hyper Sonic Vs Dark Shadow!!,2025-06-19T12:53:07+00:00,,12,36.99,1.5,32733,962,14,884.93,,9:10,https://www.youtube.com/watch?v=WC9C4uqgnak,2.98,2.94,0.04,348.23,26.39
